condition,mean,std,count,sem,ci95_half_width,ci95_lower,ci95_upper
fidelity,0.9997186863497761,0.00029235730741803887,50,4.134556692094708e-05,8.308702744940508e-05,0.9996355993223267,0.9998017733772255
lambda_1,0.9996952319151948,0.00039477840234692176,50,5.5830097073099924e-05,0.00011219478056462325,0.9995830371346301,0.9998074266957595
lambda_0.5,0.9996724567334769,0.00042940473039930125,50,6.072699934778543e-05,0.00012203547411447308,0.9995504212593624,0.9997944922075914
lambda_2,0.999593944621632,0.000588897385943756,50,8.328266700477226e-05,0.00016736278529487072,0.9994265818363371,0.9997613074069268
feasibility,0.46255409526476254,0.27248837598745407,50,0.038535675691047676,0.0774403396147726,0.38511375564998995,0.5399944348795351
