method,mean_difference,ci95_lower,ci95_upper,wins,ties,losses
maximum,0.010935000000000004,-0.01373853632846751,0.03560853632846751,10,0,10
verma_lewis,0.014575,-0.014216625643067181,0.04336662564306718,11,1,8
local,0.016419999999999994,-0.011837732463575716,0.0446777324635757,11,0,9
feasible,0.02499,-0.016584502927835143,0.06656450292783514,8,0,12
