method,constraint_type,n_x,est_shots_mean,est_shots_std,est_shots_median,est_shots_q25,est_shots_q75,optimize_time_mean,optimize_time_std,optimize_time_median,optimize_time_q25,optimize_time_q75,num_gamma_mean,num_gamma_std,num_gamma_median,num_gamma_q25,num_gamma_q75,num_beta_mean,num_beta_std,num_beta_median,num_beta_q25,num_beta_q75
PC-QAOA,quadratic_knapsack+quadratic_knapsack,3,44305664062500.0,0.0,44305664062500.0,44305664062500.0,44305664062500.0,228.24386134147645,245.90011092030156,137.5986671447754,61.9433434009552,287.7983853816986,251.0,0.0,251.0,251.0,251.0,5.0,0.0,5.0,5.0,5.0
PC-QAOA,quadratic_knapsack+quadratic_knapsack,4,585670250390625.0,0.0,585670250390625.0,585670250390625.0,585670250390625.0,170.14298615455627,163.65783090571455,114.04568123817444,52.61255669593811,234.8611762523651,214.0,0.0,214.0,214.0,214.0,5.0,0.0,5.0,5.0,5.0
PC-QAOA,quadratic_knapsack+quadratic_knapsack,5,1896978712597656.5,1240306187857713.8,2171123146972657.0,311687990722657.0,3208125000097656.0,267.24865317344666,271.82821769094585,199.38268446922302,62.60618329048157,427.2753040790558,245.33333333333334,20.005951495444922,259.0,218.0,259.0,6.0,0.0,6.0,6.0,6.0
PC-QAOA,quadratic_knapsack+quadratic_knapsack,7,326671735253907.0,0.0,326671735253907.0,326671735253907.0,326671735253907.0,460.9805208206177,485.4620614939897,279.1533513069153,127.43368363380432,581.5210590362549,269.0,0.0,269.0,269.0,269.0,7.0,0.0,7.0,7.0,7.0
PenaltyQAOA,assignment+cardinality,6,392189062500.0,0.0,392189062500.0,392189062500.0,392189062500.0,19.65744400024414,10.030958731686296,19.479713678359985,11.93402886390686,24.987805128097534,59.0,0.0,59.0,59.0,59.0,6.0,0.0,6.0,6.0,6.0
PenaltyQAOA,assignment+cardinality+cardinality,5,10633713378907.0,0.0,10633713378907.0,10633713378907.0,10633713378907.0,23.224192094802856,13.273308123564515,22.56647515296936,14.090758085250854,29.065605878829956,76.0,0.0,76.0,76.0,76.0,8.0,0.0,8.0,8.0,8.0
PenaltyQAOA,cardinality+assignment+cardinality,8,51386496191407.0,0.0,51386496191407.0,51386496191407.0,51386496191407.0,98.38557205200195,63.71304577571289,89.00332713127136,52.39997673034668,132.61738395690918,150.0,0.0,150.0,150.0,150.0,12.0,0.0,12.0,12.0,12.0
PenaltyQAOA,cardinality+cardinality,3,902500000000.0,0.0,902500000000.0,902500000000.0,902500000000.0,14.295455646514892,7.993972625335026,13.136830568313599,8.842589616775513,18.882569313049316,66.0,0.0,66.0,66.0,66.0,6.0,0.0,6.0,6.0,6.0
PenaltyQAOA,cardinality+cardinality,4,2073655712891.0,691556205969.0303,2073655712891.0,1417587890625.0,2729723535157.0,14.387373328208923,7.407064687503601,13.425461411476135,8.398822963237762,18.84505409002304,46.0,1.0540925533894572,46.0,45.0,47.0,6.0,0.0,6.0,6.0,6.0
PenaltyQAOA,cardinality+cardinality,5,31115821107701.43,31550366162739.086,29825251562500.0,2403468847657.0,43169006347657.0,46.016435623168945,49.589532785422726,26.803224802017212,15.940734028816223,57.54177522659302,104.71428571428571,41.233603820592904,98.0,62.0,154.0,7.428571428571429,1.6140142554533778,7.0,6.0,9.0
