instance_id,condition,size,depth,loss,p_feasible,fidelity,conditional_fidelity,entropy,min_conditional_probability,coverage,compile_seconds,optimize_seconds
a_4_equality_01,feasibility,4,1,-0.9999999961664869,0.9999999980832435,0.9999999980832435,1.0,1.0,0.5,1.0,0.44861768186092377,0.3574080294929445
a_4_equality_01,fidelity,4,1,1.916766523279989e-09,0.9999999980832335,0.9999999980832335,1.0,1.0,0.5,1.0,0.0006073578260838985,0.36234542028978467
a_4_equality_01,lambda_0.5,4,1,1.9167668563468965e-09,0.9999999980832331,0.9999999980832331,1.0,1.0,0.5,1.0,0.0003159940242767334,0.3475834080018103
a_4_equality_01,lambda_1,4,1,1.9167668563468965e-09,0.9999999980832331,0.9999999980832331,1.0,1.0,0.5,1.0,0.0002640262246131897,0.3663285351358354
a_4_equality_01,lambda_2,4,1,1.916766523279989e-09,0.9999999980832335,0.9999999980832335,1.0,1.0,0.5,1.0,0.0005854936316609383,0.3648750470019877
a_4_equality_02,feasibility,4,1,-0.9999999961687749,0.9999999980843874,0.9999999980843874,1.0,1.0,0.5,1.0,0.4486701851710677,0.35552211105823517
a_4_equality_02,fidelity,4,1,1.9156228825423227e-09,0.9999999980843771,0.9999999980843771,1.0,1.0,0.5,1.0,0.00036137597635388374,0.33768824860453606
a_4_equality_02,lambda_0.5,4,1,1.9156228825423227e-09,0.9999999980843771,0.9999999980843771,1.0,1.0,0.5,1.0,0.00021578092128038406,0.35175837064161897
a_4_equality_02,lambda_1,4,1,1.9156228825423227e-09,0.9999999980843771,0.9999999980843771,1.0,1.0,0.5,1.0,0.0002074441872537136,0.3403373556211591
a_4_equality_02,lambda_2,4,1,1.9156228825423227e-09,0.9999999980843771,0.9999999980843771,1.0,1.0,0.5,1.0,0.00047413213178515434,0.3411530666053295
a_4_mixed_01,feasibility,4,1,-0.9999999998671569,0.9999999999335785,0.49880545497755463,0.49880545501068607,0.6666552371907878,1.3961346304090807e-11,0.5,0.34070921083912253,0.30208680452778935
a_4_mixed_01,feasibility,4,2,-0.9999999999976978,0.9999999999988489,0.2198229751808311,0.21982297518108412,0.36188587352287843,2.1719037203342786e-14,0.75,0.5544202891178429,0.4214253770187497
a_4_mixed_01,feasibility,4,3,-0.9999999999800282,0.9999999999900141,0.297527860055474,0.29752786005844506,0.3673887483390147,4.005678442395926e-05,0.5,0.8796710269525647,0.539018820039928
a_4_mixed_01,feasibility,4,4,-0.9999999999482294,0.9999999999741147,0.14977841158081062,0.1497784115846877,0.7865194419368869,0.007694691504177179,1.0,0.9769374993629754,0.6742202932946384
a_4_mixed_01,feasibility,4,5,-0.9999999999700033,0.9999999999850016,0.16671300843425008,0.16671300843675052,0.6752562355887773,0.0014839170648418638,1.0,1.1956844562664628,0.8686409085057676
a_4_mixed_01,feasibility,4,6,-0.9999999999875777,0.9999999999937889,0.10263057128720127,0.10263057128783871,0.6136049981025813,0.003120117839268136,1.0,1.4403406898491085,1.0203513070009649
a_4_mixed_01,feasibility,4,7,-0.9999999999916096,0.9999999999958049,0.15629565941152124,0.1562956594121769,0.5400179605327956,0.009683242888327935,1.0,1.8193932110443711,1.1730072959326208
a_4_mixed_01,feasibility,4,8,-0.9999999999900422,0.9999999999950212,0.1883180988237027,0.18831809882464032,0.4360886212393618,0.0013430217652719218,1.0,1.879021913278848,1.3387008248828351
a_4_mixed_01,fidelity,4,1,0.14323725539137377,0.885405438824745,0.8567627446086262,0.9676501939561857,0.9671347759916933,0.09676296709480599,1.0,0.00026679737493395805,0.27953198412433267
a_4_mixed_01,fidelity,4,2,2.0129324873607857e-09,0.9999999984445174,0.9999999979870675,0.9999999995425501,0.9999999997064472,0.12499488393691499,1.0,0.0003308509476482868,0.39454298932105303
a_4_mixed_01,lambda_0.5,4,1,0.1203723068657302,0.9280482747877379,0.8381750002522982,0.9031588366930638,0.8991457213392563,0.07424331451304016,1.0,0.00026878900825977325,0.28510437812656164
a_4_mixed_01,lambda_0.5,4,2,2.596639014917912e-09,0.9999999986283417,0.9999999961783803,0.9999999975500387,0.9999999987241412,0.12498892242863194,1.0,0.00034020887687802315,0.40966975362971425
a_4_mixed_01,lambda_1,4,1,0.14670251991995265,0.8801857481964923,0.8565190778067113,0.973111731883555,0.9727869938131057,0.09941129105344385,1.0,0.0002814088948071003,0.29238357208669186
a_4_mixed_01,lambda_1,4,2,1.5104762773887614e-08,0.9999999939045305,0.9999999848952372,0.9999999909907067,0.999999996404426,0.12497380156630516,1.0,0.0003933641128242016,0.41124598030000925
a_4_mixed_01,lambda_2,4,1,0.15958254689934648,0.8525489222106405,0.8473775867533649,0.9939342654450065,0.9940060489638141,0.11328554906827264,1.0,0.00033413106575608253,0.29531375924125314
a_4_mixed_01,lambda_2,4,2,1.495231516379647e-08,0.9999999879422801,0.9999999864949825,0.9999999985527024,0.9999999986934752,0.12499071580179288,1.0,0.0002521798014640808,0.41203603986650705
