p_feasible,fidelity,conditional_fidelity,entropy,min_conditional_probability,coverage,identity,instance_id,condition,family,support,selected_depth,final_loss,evaluated_depths,converged,compile_seconds,optimize_seconds,process_peak_rss_mb
0.9999999998614448,0.9999999996464431,0.9999999997849983,0.9999999998921919,0.09999768889854553,1.0,d731a72f8ff9813d27c0efc738e57764b39f1306bf4a18dec2a80ecf6c02ded1,a_4_mixed_02,lambda_1,mixed,4,2,3.5355685046312146e-10,2,True,0.0009681670926511288,0.9367440738715231,917.01953125
0.9999999998268183,0.999999999620773,0.9999999997939547,0.9999999998386315,0.09999766443241843,1.0,2dbbbb17c50c3b85623ff02f41e596b4c6a8dcee59db3f0b2eb163623513b5af,a_4_mixed_02,lambda_2,mixed,4,2,5.852721640664527e-10,2,True,0.0013924092054367065,0.9366101012565196,917.01953125
0.9999999999739962,0.2772474867112162,0.27724748671842564,0.7746270073958182,0.0010504919041073033,1.0,c7639799ece110ff4405e0797bd31662e96671b21f41d5e562ac851d385b58a3,a_4_mixed_03,feasibility,mixed,4,2,-0.9999999999479925,8,False,15.931848273612559,11.510057229083031,1021.09375
0.9999493044002832,0.9997397619245084,0.9997904469008052,0.9999645992057546,0.08124546125375677,1.0,f86b93f564363582e6776471e94566fcbd047e18659c3e6d3f078a88c7a36ba4,a_4_mixed_03,fidelity,mixed,4,2,0.00026023807549159966,2,True,0.0011150077916681767,1.1416627173312008,1021.3125
0.9999232431058458,0.9990991035658302,0.9991757971967371,0.9998171886662053,0.07801476377226017,1.0,3221f1936925f639f1c38cbd3b532513226d717c2b46686d8cf02f40b9039425,a_4_mixed_03,lambda_0.5,mixed,4,2,0.0004888582957855991,2,True,0.0011343751102685928,1.1613339162431657,1021.3125
0.9998223188215494,0.9991455760359961,0.9993231369486221,0.9995441245461952,0.0780042807983975,1.0,016f79573b1cae74a0a46fa167c15c299c543d3418dc6853a4eef13d00beffbe,a_4_mixed_03,lambda_1,mixed,4,2,0.0008545442298285577,2,True,0.000949908047914505,1.1325618140399456,1021.3125
0.9998759979517204,0.9991752179666665,0.9992991331060157,0.9995435559266873,0.07936792256842272,1.0,28dedcaabdc7725038665d499804717bf0c8216746ef8ed49083da16dbfe3826,a_4_mixed_03,lambda_2,mixed,4,2,0.0015257358362481543,2,True,0.001201464794576168,1.1418249104171991,1021.3125
0.9999999968709513,0.4999546399575998,0.4999546415219822,0.49999812141678235,2.5172956434984976e-11,0.5,1ba955bd482d87186cae242d59223b17bdab32f8ad6c828ab2dae6f6e0938419,a_4_positive_01,feasibility,positive,4,1,-0.9999999937419028,8,False,15.747343604452908,11.55180229851976,1019.3359375
0.9999999964487363,0.9999999939156938,0.9999999974669576,0.9999999966911984,0.24996905848584086,1.0,8a9994255d526d492342038ab3e1a4cdb8f98b1294a048b543c5e771ea81a00d,a_4_positive_01,fidelity,positive,4,2,6.084306169995557e-09,2,True,0.001088535413146019,1.1265192194841802,1019.3359375
0.9999989832999261,0.9999958462961714,0.9999968629930559,0.9999985206575672,0.24963906760566382,1.0,7ea438fdbf86034cba62c260d10271d2857f02d10728856714cba9c9439c88af,a_4_positive_01,lambda_0.5,positive,4,2,2.5852035459572598e-06,2,True,0.0015039434656500816,1.1391207003034651,1019.3359375
0.9999999051440479,0.9999998279592942,0.999999922815239,0.9999999160973881,0.24985093197792285,1.0,94a7af99b6d366e1dd592c008af947d8a611481f524650a9b32cc9c09dab8c55,a_4_positive_01,lambda_1,positive,4,2,1.7204071312004743e-07,2,True,0.0016629290767014027,1.1443221513181925,1019.3359375
0.9999821777227376,0.999976282078392,0.9999941042505787,0.9999966739770955,0.2486859633185064,1.0,7e7f6594d879f0b7f556b8978838410214b5e5164425c38198945e948a73f3ec,a_4_positive_01,lambda_2,positive,4,2,2.9613776105108514e-05,2,True,0.0013442179188132286,1.1523304227739573,1019.3359375
0.999999999974897,0.48253685068209495,0.4825368506942081,0.7081825020237427,0.004212343237290172,1.0,1967d130380747b7082db8fd9b853741d1bcf4b558b96a0a58bff8b092ce6e27,a_4_positive_02,feasibility,positive,4,4,-0.9999999999497939,8,False,9.46735736867413,6.188255412504077,763.62109375
0.9999999995490534,0.9999999988043285,0.9999999992552752,0.9999999996846248,0.1249935721325633,1.0,40e06c354df5b9bf22d25632430a39f89d59c017cd2e674f866bc5660c6ac84b,a_4_positive_02,fidelity,positive,4,2,1.1956714507377342e-09,2,True,0.0008813631720840931,0.7269466132856905,763.62109375
0.9999999987104959,0.999999997256799,0.9999999985463031,0.9999999992966223,0.1249922258567448,1.0,afac55aa8dec77be429661af2862488bddb2245ba3903c28d5b249c433172e81,a_4_positive_02,lambda_0.5,positive,4,2,2.0163525848992947e-09,2,True,0.0007204110734164715,0.7456174832768738,763.62109375
0.9999999984045205,0.9999999979339252,0.9999999995294048,0.9999999996331179,0.12499558169439672,1.0,1e43f266acc8967169456fbca287a388ec7d71333cf41a3e55b68327a1ea8241,a_4_positive_02,lambda_1,positive,4,2,2.066074755724401e-09,2,True,0.000955450814217329,0.7404479067772627,763.62109375
0.9999999986992254,0.9999999983779517,0.9999999996787263,0.9999999997871045,0.12499430369790845,1.0,f4bb48b237f390139973a1eaa1ca63419caf00ebda3c314b810be07cb8021425,a_4_positive_02,lambda_2,positive,4,2,1.943321947805998e-09,2,True,0.0006864983588457108,0.7429007324390113,763.62109375
0.9999999999947315,0.3950525533266871,0.39505255332876843,0.5475575956511578,2.6163646560532886e-12,0.75,c9a32f9e077bc8a218fbb48e69a4e73c91944d1fae28f9b2340090a119b30187,a_4_positive_03,feasibility,positive,4,2,-0.9999999999894633,8,False,9.45720609370619,6.538879397325218,764.65625
0.9999999987219911,0.9999999982785149,0.9999999995565239,0.9999999996718886,0.1249966584713534,1.0,05f3b91cd1c3c389bc69eae8cf6e589baec19d241b7f5d11a677c37861e52a11,a_4_positive_03,fidelity,positive,4,2,1.7214850656088743e-09,2,True,0.0008943709544837475,0.7547001610510051,764.65625
0.9999999994625983,0.9999999980609752,0.9999999985983768,0.9999999990682656,0.12499173826108376,1.0,f26e6509d4bff7f9cd969ede78a7bb1697ddbd9c7324bf71ac48dfadd85ab419,a_4_positive_03,lambda_0.5,positive,4,2,1.2382133651733795e-09,2,True,0.001152015756815672,0.74258230952546,764.65625
0.9999999997178803,0.9999999994543685,0.9999999997364881,0.9999999998411938,0.12499637351986083,1.0,533db928ef94183ee74b462d48d60cfc855b2a404a1e7102368ba3141360f5b5,a_4_positive_03,lambda_1,positive,4,2,5.45631539949909e-10,2,True,0.0011698710732161999,0.7484204648062587,764.65625
