condition,mean,std,count
fidelity,0.9997186863497761,0.00029235730741803887,50
lambda_1,0.9996952319151948,0.00039477840234692176,50
lambda_0.5,0.9996724567334769,0.00042940473039930125,50
lambda_2,0.999593944621632,0.000588897385943756,50
feasibility,0.46255409526476254,0.27248837598745407,50
