             JOBID PARTITION     NAME     USER ST       TIME  NODES NODELIST(REASON)
        246314_318    campus experime awilkie1  R   20:47:30      1 clr0626
        246314_319    campus experime awilkie1  R   20:47:30      1 clr0626
        246314_320    campus experime awilkie1  R   20:47:30      1 clr0626
        246314_321    campus experime awilkie1  R   20:47:30      1 clr0626
        246314_322    campus experime awilkie1  R   20:47:30      1 clr0626
        246314_323    campus experime awilkie1  R   20:47:30      1 clr0626
        246314_324    campus experime awilkie1  R   20:47:30      1 clr0626
        246314_325    campus experime awilkie1  R   20:47:30      1 clr0626
        246314_326    campus experime awilkie1  R   20:47:30      1 clr0626
        246314_327    campus experime awilkie1  R   20:47:30      1 clr0626
        246314_328    campus experime awilkie1  R   20:47:30      1 clr0626
        246314_329    campus experime awilkie1  R   20:47:30      1 clr0626
        246314_330    campus experime awilkie1  R   20:47:30      1 clr0626
        246314_331    campus experime awilkie1  R   20:47:30      1 clr0626
        246314_332    campus experime awilkie1  R   20:47:30      1 clr0626
        246314_333    campus experime awilkie1  R   20:47:30      1 clr0626
        246314_334    campus experime awilkie1  R   20:47:30      1 clr0626
        246314_335    campus experime awilkie1  R   20:47:30      1 clr0626
        246314_336    campus experime awilkie1  R   20:47:30      1 clr0626
        246314_337    campus experime awilkie1  R   20:47:30      1 clr0626
        246314_338    campus experime awilkie1  R   20:47:30      1 clr0626
        246314_339    campus experime awilkie1  R   20:47:30      1 clr0626
        246314_340    campus experime awilkie1  R   20:47:30      1 clr0626
        246314_341    campus experime awilkie1  R   20:47:30      1 clr0626
        246314_342    campus experime awilkie1  R   20:47:30      1 clr0626
        246314_343    campus experime awilkie1  R   20:47:30      1 clr0626
        246314_344    campus experime awilkie1  R   20:47:30      1 clr0626
        246314_345    campus experime awilkie1  R   20:47:30      1 clr0626
        246314_346    campus experime awilkie1  R   20:47:30      1 clr0626
        246314_347    campus experime awilkie1  R   20:47:30      1 clr0626
        246314_348    campus experime awilkie1  R   20:47:30      1 clr0626
        246314_349    campus experime awilkie1  R   20:47:30      1 clr0626
        246314_350    campus experime awilkie1  R   20:47:30      1 clr0626
        246314_351    campus experime awilkie1  R   20:47:30      1 clr0626
        246314_352    campus experime awilkie1  R   20:47:30      1 clr0626
        246314_353    campus experime awilkie1  R   20:47:30      1 clr0626
        246314_354    campus experime awilkie1  R   20:47:30      1 clr0626
        246314_355    campus experime awilkie1  R   20:47:30      1 clr0626
        246314_356    campus experime awilkie1  R   20:47:30      1 clr0626
        246314_357    campus experime awilkie1  R   20:47:30      1 clr0626
        246314_358    campus experime awilkie1  R   20:47:30      1 clr0626
        246314_359    campus experime awilkie1  R   20:47:30      1 clr0626
        246314_360    campus experime awilkie1  R   20:47:30      1 clr0627
        246314_361    campus experime awilkie1  R   20:47:30      1 clr0627
        246314_362    campus experime awilkie1  R   20:47:30      1 clr0627
        246314_363    campus experime awilkie1  R   20:47:30      1 clr0627
        246314_364    campus experime awilkie1  R   20:47:30      1 clr0627
        246314_365    campus experime awilkie1  R   20:47:30      1 clr0627
        246314_367    campus experime awilkie1  R   20:47:30      1 clr0627
        246314_368    campus experime awilkie1  R   20:47:30      1 clr0627
