vcg_key,constraint_type,constraints,n_x,n_layers,sp_total,sp_1q,sp_2q,sp_gates
2*x_0*x_0 + 5*x_0*x_1 + 2*x_0*x_2 + 2*x_1*x_1 + 1*x_1*x_2 + 1*x_2*x_2 <= 7,quadratic_knapsack,['2*x_0*x_0 + 5*x_0*x_1 + 2*x_0*x_2 + 2*x_1*x_1 + 1*x_1*x_2 + 1*x_2*x_2 <= 7'],3,6,51,39,12,"{'Hadamard': 3, 'CNOT': 12, 'RZ': 18, 'RX': 18}"
4*x_0*x_0 + 4*x_0*x_1 + 2*x_0*x_2 + 5*x_1*x_1 + 1*x_1*x_2 + 2*x_2*x_2 <= 9,quadratic_knapsack,['4*x_0*x_0 + 4*x_0*x_1 + 2*x_0*x_2 + 5*x_1*x_1 + 1*x_1*x_2 + 2*x_2*x_2 <= 9'],3,2,19,15,4,"{'Hadamard': 3, 'CNOT': 4, 'RZ': 6, 'RX': 6}"
5*x_0 + 10*x_1 + 1*x_2 + 9*x_3 + 6*x_4 <= 19,knapsack,['5*x_0 + 10*x_1 + 1*x_2 + 9*x_3 + 6*x_4 <= 19'],5,3,407,113,294,"{'Hadamard': 5, 'CNOT': 294, 'RZ': 93, 'RX': 15}"
5*x_0*x_0 + 3*x_0*x_1 + 5*x_0*x_2 + 4*x_1*x_1 + 5*x_1*x_2 + 3*x_2*x_2 <= 14,quadratic_knapsack,['5*x_0*x_0 + 3*x_0*x_1 + 5*x_0*x_2 + 4*x_1*x_1 + 5*x_1*x_2 + 3*x_2*x_2 <= 14'],3,0,12,1,10,"{'RY': 1, 'CRY': 3, 'SWAP': 1, 'CNOT': 6, 'CC_RY': 1, 'CSWAP': 0}"
3*x_0*x_0 + 1*x_0*x_1 + 3*x_0*x_2 + 4*x_0*x_3 + 5*x_1*x_1 + 4*x_1*x_2 + 2*x_1*x_3 + 2*x_2*x_2 + 4*x_2*x_3 + 4*x_3*x_3 <= 17,quadratic_knapsack,['3*x_0*x_0 + 1*x_0*x_1 + 3*x_0*x_2 + 4*x_0*x_3 + 5*x_1*x_1 + 4*x_1*x_2 + 2*x_1*x_3 + 2*x_2*x_2 + 4*x_2*x_3 + 4*x_3*x_3 <= 17'],4,0,19,1,16,"{'RY': 1, 'CRY': 4, 'SWAP': 2, 'CNOT': 10, 'CC_RY': 2, 'CSWAP': 0}"
1*x_0*x_0 + 4*x_0*x_1 + 1*x_0*x_2 + 5*x_0*x_3 + 2*x_1*x_1 + 3*x_1*x_2 + 3*x_1*x_3 + 5*x_2*x_2 + 4*x_2*x_3 + 5*x_3*x_3 <= 22,quadratic_knapsack,['1*x_0*x_0 + 4*x_0*x_1 + 1*x_0*x_2 + 5*x_0*x_3 + 2*x_1*x_1 + 3*x_1*x_2 + 3*x_1*x_3 + 5*x_2*x_2 + 4*x_2*x_3 + 5*x_3*x_3 <= 22'],4,0,23,1,19,"{'RY': 1, 'CRY': 5, 'SWAP': 2, 'CNOT': 12, 'CC_RY': 3, 'CSWAP': 0}"
1*x_0*x_0 + 2*x_0*x_1 + 1*x_0*x_2 + 1*x_1*x_1 + 5*x_1*x_2 + 1*x_2*x_2 <= 6,quadratic_knapsack,['1*x_0*x_0 + 2*x_0*x_1 + 1*x_0*x_2 + 1*x_1*x_1 + 5*x_1*x_2 + 1*x_2*x_2 <= 6'],3,5,43,33,10,"{'Hadamard': 3, 'CNOT': 10, 'RZ': 15, 'RX': 15}"
1*x_0 + 9*x_1 + 5*x_2 + 2*x_3 + 10*x_4 <= 10,knapsack,['1*x_0 + 9*x_1 + 5*x_2 + 2*x_3 + 10*x_4 <= 10'],5,1,139,41,98,"{'Hadamard': 5, 'CNOT': 98, 'RZ': 31, 'RX': 5}"
6*x_0 + 7*x_1 + 8*x_2 + 9*x_3 + 5*x_4 <= 14,knapsack,['6*x_0 + 7*x_1 + 8*x_2 + 9*x_3 + 5*x_4 <= 14'],5,6,503,155,348,"{'Hadamard': 5, 'CNOT': 348, 'RZ': 120, 'RX': 30}"
3*x_0*x_0 + 1*x_0*x_1 + 3*x_0*x_2 + 1*x_1*x_1 + 4*x_1*x_2 + 3*x_2*x_2 <= 5,quadratic_knapsack,['3*x_0*x_0 + 1*x_0*x_1 + 3*x_0*x_2 + 1*x_1*x_1 + 4*x_1*x_2 + 3*x_2*x_2 <= 5'],3,4,83,43,40,"{'Hadamard': 3, 'CNOT': 40, 'RZ': 28, 'RX': 12}"
