constraint_type,n_x,est_shots_mean,est_shots_std,est_shots_median,est_shots_q25,est_shots_q75,depth_mean,depth_std,depth_median,depth_q25,depth_q75,optimize_time_mean,optimize_time_std,optimize_time_median,optimize_time_q25,optimize_time_q75
knapsack,3,10000.0,0.0,10000.0,10000.0,10000.0,17.7,10.044899203078147,14.0,14.0,27.75,37.45397953987121,16.213318884819724,31.811583757400513,30.89539659023285,50.75425451993942
knapsack,4,10000.0,0.0,10000.0,10000.0,10000.0,61.1,17.514755683898837,69.0,69.0,69.0,127.70140595436096,40.03764056805463,139.16226184368134,132.80685567855835,153.21073347330093
knapsack,5,10000.0,0.0,10000.0,10000.0,10000.0,98.8,59.11908885179698,103.0,47.0,156.0,229.36595673561095,135.5366274129656,246.86699104309082,111.03080600500107,330.98158901929855
quadratic_knapsack,3,10000.0,0.0,10000.0,10000.0,10000.0,21.6,8.23542483556387,18.0,14.0,31.0,59.691123080253604,21.071187176994137,47.53819465637207,43.955785155296326,77.47504425048828
quadratic_knapsack,4,10000.0,0.0,10000.0,10000.0,10000.0,56.0,17.18526500620032,69.0,41.5,69.0,164.46116881370546,72.44131832810619,177.5997393131256,93.61215734481812,190.5706805586815
quadratic_knapsack,5,10000.0,0.0,10000.0,10000.0,10000.0,119.8,25.6593063039514,107.0,107.0,143.75,542.7723231077194,86.28099071544577,532.310427904129,526.1071490049362,601.80980271101
