constraint_type,n_x,angle_strategy,AR_mean,AR_std,AR_median,AR_q25,AR_q75,p_feasible_mean,p_feasible_std,p_feasible_median,p_feasible_q25,p_feasible_q75
knapsack,3,ma-QAOA,0.9999990256527097,7.964635345929494e-07,0.9999991875151846,0.9999987957755972,0.9999993062669086,0.49960000000000004,0.0041785164831552426,0.5003,0.49645,0.502
knapsack,4,ma-QAOA,0.9999977939535439,7.940868263892408e-07,0.9999976771126752,0.9999974861290237,0.9999978543156387,0.49168,0.09490510816365764,0.49405,0.4481,0.5017
knapsack,5,ma-QAOA,0.9999977422197318,6.042264382486212e-07,0.9999977145563599,0.999997209372826,0.9999981599451071,0.51113,0.15140674467583448,0.5029,0.41035,0.626
quadratic_knapsack,3,ma-QAOA,0.9999987809606795,1.219683758264758e-06,0.9999990086205843,0.999998807555073,0.9999995247802086,0.6626700000000001,0.18525502572280073,0.62645,0.50145,0.7508
quadratic_knapsack,4,ma-QAOA,0.9999981849013242,7.836048280460272e-07,0.9999981657203867,0.9999977203681458,0.9999988753526625,0.74993,0.21281392524404452,0.7528,0.5322749999999999,0.9375749999999999
quadratic_knapsack,5,ma-QAOA,0.9999972820554692,6.843397949658287e-07,0.9999976867610224,0.9999971298101114,0.9999976959442463,0.6454099999999999,0.1679514840660838,0.55345,0.5037,0.812625
