instance_id,constraint,family,support,status,gate_set,representation,condition,selected_depth,fidelity,n_decision,n_slack,n_allocated,gate_counts,total_gates,algo_wires,zeroed_wires,any_state_wires,total_wires,one_qubit_gates,two_qubit_gates,t_gates
a_4_mixed_01,-1*x_0 + 4*x_1 - 4*x_2 + 3*x_3 <= 0,mixed,4,complete,nisq,gadget,lambda_2,2.0,0.9999999864949825,4,0,4,"{'Hadamard': 4, 'CNOT': 8, 'RZ': 8, 'RX': 8}",28,4,0,0,4,20,8,0
a_4_mixed_01,-1*x_0 + 4*x_1 - 4*x_2 + 3*x_3 <= 0,mixed,4,complete,ftqc,gadget,lambda_2,2.0,0.9999999864949825,4,0,4,"{'Hadamard': 4, 'CNOT': 8, 'T': 704}",716,4,0,0,4,708,8,704
a_4_mixed_01,-1*x_0 + 4*x_1 - 4*x_2 + 3*x_3 <= 0,mixed,4,complete,nisq,penalty_cost_layer,unit_penalty,,,4,3,7,"{'CNOT': 42, 'RZ': 28}",70,7,0,0,7,28,42,0
a_4_mixed_01,-1*x_0 + 4*x_1 - 4*x_2 + 3*x_3 <= 0,mixed,4,complete,ftqc,penalty_cost_layer,unit_penalty,,,4,3,7,"{'CNOT': 42, 'T': 1232}",1274,7,0,0,7,1232,42,1232
a_4_mixed_02,-1*x_0 - 5*x_1 + 3*x_2 + 3*x_3 <= 1,mixed,4,complete,nisq,gadget,feasibility,1.0,0.7476501354642149,4,0,4,"{'Hadamard': 4, 'CNOT': 10, 'RZ': 7, 'RX': 4}",25,4,0,0,4,15,10,0
a_4_mixed_02,-1*x_0 - 5*x_1 + 3*x_2 + 3*x_3 <= 1,mixed,4,complete,ftqc,gadget,feasibility,1.0,0.7476501354642149,4,0,4,"{'Hadamard': 4, 'CNOT': 10, 'T': 484}",498,4,0,0,4,488,10,484
a_4_mixed_02,-1*x_0 - 5*x_1 + 3*x_2 + 3*x_3 <= 1,mixed,4,complete,nisq,gadget,fidelity,2.0,0.9999999998901995,4,0,4,"{'Hadamard': 4, 'CNOT': 20, 'RZ': 14, 'RX': 8}",46,4,0,0,4,26,20,0
a_4_mixed_02,-1*x_0 - 5*x_1 + 3*x_2 + 3*x_3 <= 1,mixed,4,complete,ftqc,gadget,fidelity,2.0,0.9999999998901995,4,0,4,"{'Hadamard': 4, 'CNOT': 20, 'T': 968}",992,4,0,0,4,972,20,968
a_4_mixed_02,-1*x_0 - 5*x_1 + 3*x_2 + 3*x_3 <= 1,mixed,4,complete,nisq,gadget,lambda_0.5,2.0,0.9999999995715074,4,0,4,"{'Hadamard': 4, 'CNOT': 20, 'RZ': 14, 'RX': 8}",46,4,0,0,4,26,20,0
a_4_mixed_02,-1*x_0 - 5*x_1 + 3*x_2 + 3*x_3 <= 1,mixed,4,complete,ftqc,gadget,lambda_0.5,2.0,0.9999999995715074,4,0,4,"{'Hadamard': 4, 'CNOT': 20, 'T': 968}",992,4,0,0,4,972,20,968
a_4_mixed_02,-1*x_0 - 5*x_1 + 3*x_2 + 3*x_3 <= 1,mixed,4,complete,nisq,gadget,lambda_1,2.0,0.9999999996464431,4,0,4,"{'Hadamard': 4, 'CNOT': 20, 'RZ': 14, 'RX': 8}",46,4,0,0,4,26,20,0
a_4_mixed_02,-1*x_0 - 5*x_1 + 3*x_2 + 3*x_3 <= 1,mixed,4,complete,ftqc,gadget,lambda_1,2.0,0.9999999996464431,4,0,4,"{'Hadamard': 4, 'CNOT': 20, 'T': 968}",992,4,0,0,4,972,20,968
a_4_mixed_02,-1*x_0 - 5*x_1 + 3*x_2 + 3*x_3 <= 1,mixed,4,complete,nisq,gadget,lambda_2,2.0,0.999999999620773,4,0,4,"{'Hadamard': 4, 'CNOT': 20, 'RZ': 14, 'RX': 8}",46,4,0,0,4,26,20,0
a_4_mixed_02,-1*x_0 - 5*x_1 + 3*x_2 + 3*x_3 <= 1,mixed,4,complete,ftqc,gadget,lambda_2,2.0,0.999999999620773,4,0,4,"{'Hadamard': 4, 'CNOT': 20, 'T': 968}",992,4,0,0,4,972,20,968
a_4_mixed_02,-1*x_0 - 5*x_1 + 3*x_2 + 3*x_3 <= 1,mixed,4,complete,nisq,penalty_cost_layer,unit_penalty,,,4,3,7,"{'CNOT': 42, 'RZ': 28}",70,7,0,0,7,28,42,0
a_4_mixed_02,-1*x_0 - 5*x_1 + 3*x_2 + 3*x_3 <= 1,mixed,4,complete,ftqc,penalty_cost_layer,unit_penalty,,,4,3,7,"{'CNOT': 42, 'T': 1232}",1274,7,0,0,7,1232,42,1232
a_4_mixed_03,-3*x_0 - 5*x_1 - 3*x_2 + 3*x_3 <= -2,mixed,4,complete,nisq,gadget,feasibility,2.0,0.2772474867112162,4,0,4,"{'Hadamard': 4, 'CNOT': 32, 'RZ': 18, 'RX': 8}",62,4,0,0,4,30,32,0
a_4_mixed_03,-3*x_0 - 5*x_1 - 3*x_2 + 3*x_3 <= -2,mixed,4,complete,ftqc,gadget,feasibility,2.0,0.2772474867112162,4,0,4,"{'Hadamard': 4, 'CNOT': 32, 'T': 1144}",1180,4,0,0,4,1148,32,1144
a_4_mixed_03,-3*x_0 - 5*x_1 - 3*x_2 + 3*x_3 <= -2,mixed,4,complete,nisq,gadget,fidelity,2.0,0.9997397619245084,4,0,4,"{'Hadamard': 4, 'CNOT': 32, 'RZ': 18, 'RX': 8}",62,4,0,0,4,30,32,0
a_4_mixed_03,-3*x_0 - 5*x_1 - 3*x_2 + 3*x_3 <= -2,mixed,4,complete,ftqc,gadget,fidelity,2.0,0.9997397619245084,4,0,4,"{'Hadamard': 4, 'CNOT': 32, 'T': 1144}",1180,4,0,0,4,1148,32,1144
a_4_mixed_03,-3*x_0 - 5*x_1 - 3*x_2 + 3*x_3 <= -2,mixed,4,complete,nisq,gadget,lambda_0.5,2.0,0.9990991035658302,4,0,4,"{'Hadamard': 4, 'CNOT': 32, 'RZ': 18, 'RX': 8}",62,4,0,0,4,30,32,0
a_4_mixed_03,-3*x_0 - 5*x_1 - 3*x_2 + 3*x_3 <= -2,mixed,4,complete,ftqc,gadget,lambda_0.5,2.0,0.9990991035658302,4,0,4,"{'Hadamard': 4, 'CNOT': 32, 'T': 1144}",1180,4,0,0,4,1148,32,1144
a_4_mixed_03,-3*x_0 - 5*x_1 - 3*x_2 + 3*x_3 <= -2,mixed,4,complete,nisq,gadget,lambda_1,2.0,0.9991455760359961,4,0,4,"{'Hadamard': 4, 'CNOT': 32, 'RZ': 18, 'RX': 8}",62,4,0,0,4,30,32,0
a_4_mixed_03,-3*x_0 - 5*x_1 - 3*x_2 + 3*x_3 <= -2,mixed,4,complete,ftqc,gadget,lambda_1,2.0,0.9991455760359961,4,0,4,"{'Hadamard': 4, 'CNOT': 32, 'T': 1144}",1180,4,0,0,4,1148,32,1144
a_4_mixed_03,-3*x_0 - 5*x_1 - 3*x_2 + 3*x_3 <= -2,mixed,4,complete,nisq,gadget,lambda_2,2.0,0.9991752179666665,4,0,4,"{'Hadamard': 4, 'CNOT': 32, 'RZ': 18, 'RX': 8}",62,4,0,0,4,30,32,0
a_4_mixed_03,-3*x_0 - 5*x_1 - 3*x_2 + 3*x_3 <= -2,mixed,4,complete,ftqc,gadget,lambda_2,2.0,0.9991752179666665,4,0,4,"{'Hadamard': 4, 'CNOT': 32, 'T': 1144}",1180,4,0,0,4,1148,32,1144
a_4_mixed_03,-3*x_0 - 5*x_1 - 3*x_2 + 3*x_3 <= -2,mixed,4,complete,nisq,penalty_cost_layer,unit_penalty,,,4,4,8,"{'CNOT': 56, 'RZ': 36}",92,8,0,0,8,36,56,0
a_4_mixed_03,-3*x_0 - 5*x_1 - 3*x_2 + 3*x_3 <= -2,mixed,4,complete,ftqc,penalty_cost_layer,unit_penalty,,,4,4,8,"{'CNOT': 56, 'T': 1584}",1640,8,0,0,8,1584,56,1584
a_4_positive_01,5*x_0 + 4*x_1 + 2*x_2 + 3*x_3 <= 4,positive,4,complete,nisq,gadget,feasibility,1.0,0.4999546399575998,4,0,4,"{'Hadamard': 4, 'CNOT': 16, 'RZ': 9, 'RX': 4}",33,4,0,0,4,17,16,0
a_4_positive_01,5*x_0 + 4*x_1 + 2*x_2 + 3*x_3 <= 4,positive,4,complete,ftqc,gadget,feasibility,1.0,0.4999546399575998,4,0,4,"{'Hadamard': 4, 'CNOT': 16, 'T': 572}",592,4,0,0,4,576,16,572
a_4_positive_01,5*x_0 + 4*x_1 + 2*x_2 + 3*x_3 <= 4,positive,4,complete,nisq,gadget,fidelity,2.0,0.9999999939156938,4,0,4,"{'Hadamard': 4, 'CNOT': 32, 'RZ': 18, 'RX': 8}",62,4,0,0,4,30,32,0
a_4_positive_01,5*x_0 + 4*x_1 + 2*x_2 + 3*x_3 <= 4,positive,4,complete,ftqc,gadget,fidelity,2.0,0.9999999939156938,4,0,4,"{'Hadamard': 4, 'CNOT': 32, 'T': 1144}",1180,4,0,0,4,1148,32,1144
a_4_positive_01,5*x_0 + 4*x_1 + 2*x_2 + 3*x_3 <= 4,positive,4,complete,nisq,gadget,lambda_0.5,2.0,0.9999958462961714,4,0,4,"{'Hadamard': 4, 'CNOT': 32, 'RZ': 18, 'RX': 8}",62,4,0,0,4,30,32,0
a_4_positive_01,5*x_0 + 4*x_1 + 2*x_2 + 3*x_3 <= 4,positive,4,complete,ftqc,gadget,lambda_0.5,2.0,0.9999958462961714,4,0,4,"{'Hadamard': 4, 'CNOT': 32, 'T': 1144}",1180,4,0,0,4,1148,32,1144
a_4_positive_01,5*x_0 + 4*x_1 + 2*x_2 + 3*x_3 <= 4,positive,4,complete,nisq,gadget,lambda_1,2.0,0.9999998279592942,4,0,4,"{'Hadamard': 4, 'CNOT': 32, 'RZ': 18, 'RX': 8}",62,4,0,0,4,30,32,0
a_4_positive_01,5*x_0 + 4*x_1 + 2*x_2 + 3*x_3 <= 4,positive,4,complete,ftqc,gadget,lambda_1,2.0,0.9999998279592942,4,0,4,"{'Hadamard': 4, 'CNOT': 32, 'T': 1144}",1180,4,0,0,4,1148,32,1144
a_4_positive_01,5*x_0 + 4*x_1 + 2*x_2 + 3*x_3 <= 4,positive,4,complete,nisq,gadget,lambda_2,2.0,0.999976282078392,4,0,4,"{'Hadamard': 4, 'CNOT': 32, 'RZ': 18, 'RX': 8}",62,4,0,0,4,30,32,0
a_4_positive_01,5*x_0 + 4*x_1 + 2*x_2 + 3*x_3 <= 4,positive,4,complete,ftqc,gadget,lambda_2,2.0,0.999976282078392,4,0,4,"{'Hadamard': 4, 'CNOT': 32, 'T': 1144}",1180,4,0,0,4,1148,32,1144
a_4_positive_01,5*x_0 + 4*x_1 + 2*x_2 + 3*x_3 <= 4,positive,4,complete,nisq,penalty_cost_layer,unit_penalty,,,4,3,7,"{'CNOT': 42, 'RZ': 28}",70,7,0,0,7,28,42,0
a_4_positive_01,5*x_0 + 4*x_1 + 2*x_2 + 3*x_3 <= 4,positive,4,complete,ftqc,penalty_cost_layer,unit_penalty,,,4,3,7,"{'CNOT': 42, 'T': 1232}",1274,7,0,0,7,1232,42,1232
a_4_positive_02,1*x_0 + 4*x_1 + 3*x_2 + 5*x_3 <= 6,positive,4,complete,nisq,gadget,feasibility,4.0,0.48253685068209495,4,0,4,"{'Hadamard': 4, 'CNOT': 16, 'RZ': 16, 'RX': 16}",52,4,0,0,4,36,16,0
a_4_positive_02,1*x_0 + 4*x_1 + 3*x_2 + 5*x_3 <= 6,positive,4,complete,ftqc,gadget,feasibility,4.0,0.48253685068209495,4,0,4,"{'Hadamard': 4, 'CNOT': 16, 'T': 1408}",1428,4,0,0,4,1412,16,1408
a_4_positive_02,1*x_0 + 4*x_1 + 3*x_2 + 5*x_3 <= 6,positive,4,complete,nisq,gadget,fidelity,2.0,0.9999999988043285,4,0,4,"{'Hadamard': 4, 'CNOT': 8, 'RZ': 8, 'RX': 8}",28,4,0,0,4,20,8,0
a_4_positive_02,1*x_0 + 4*x_1 + 3*x_2 + 5*x_3 <= 6,positive,4,complete,ftqc,gadget,fidelity,2.0,0.9999999988043285,4,0,4,"{'Hadamard': 4, 'CNOT': 8, 'T': 704}",716,4,0,0,4,708,8,704
a_4_positive_02,1*x_0 + 4*x_1 + 3*x_2 + 5*x_3 <= 6,positive,4,complete,nisq,gadget,lambda_0.5,2.0,0.999999997256799,4,0,4,"{'Hadamard': 4, 'CNOT': 8, 'RZ': 8, 'RX': 8}",28,4,0,0,4,20,8,0
a_4_positive_02,1*x_0 + 4*x_1 + 3*x_2 + 5*x_3 <= 6,positive,4,complete,ftqc,gadget,lambda_0.5,2.0,0.999999997256799,4,0,4,"{'Hadamard': 4, 'CNOT': 8, 'T': 704}",716,4,0,0,4,708,8,704
a_4_positive_02,1*x_0 + 4*x_1 + 3*x_2 + 5*x_3 <= 6,positive,4,complete,nisq,gadget,lambda_1,2.0,0.9999999979339252,4,0,4,"{'Hadamard': 4, 'CNOT': 8, 'RZ': 8, 'RX': 8}",28,4,0,0,4,20,8,0
a_4_positive_02,1*x_0 + 4*x_1 + 3*x_2 + 5*x_3 <= 6,positive,4,complete,ftqc,gadget,lambda_1,2.0,0.9999999979339252,4,0,4,"{'Hadamard': 4, 'CNOT': 8, 'T': 704}",716,4,0,0,4,708,8,704
a_4_positive_02,1*x_0 + 4*x_1 + 3*x_2 + 5*x_3 <= 6,positive,4,complete,nisq,gadget,lambda_2,2.0,0.9999999983779517,4,0,4,"{'Hadamard': 4, 'CNOT': 8, 'RZ': 8, 'RX': 8}",28,4,0,0,4,20,8,0
a_4_positive_02,1*x_0 + 4*x_1 + 3*x_2 + 5*x_3 <= 6,positive,4,complete,ftqc,gadget,lambda_2,2.0,0.9999999983779517,4,0,4,"{'Hadamard': 4, 'CNOT': 8, 'T': 704}",716,4,0,0,4,708,8,704
a_4_positive_02,1*x_0 + 4*x_1 + 3*x_2 + 5*x_3 <= 6,positive,4,complete,nisq,penalty_cost_layer,unit_penalty,,,4,3,7,"{'CNOT': 42, 'RZ': 28}",70,7,0,0,7,28,42,0
a_4_positive_02,1*x_0 + 4*x_1 + 3*x_2 + 5*x_3 <= 6,positive,4,complete,ftqc,penalty_cost_layer,unit_penalty,,,4,3,7,"{'CNOT': 42, 'T': 1232}",1274,7,0,0,7,1232,42,1232
a_4_positive_03,4*x_0 + 4*x_1 + 3*x_2 + 4*x_3 <= 7,positive,4,complete,nisq,gadget,feasibility,2.0,0.3950525533266871,4,0,4,"{'Hadamard': 4, 'CNOT': 8, 'RZ': 8, 'RX': 8}",28,4,0,0,4,20,8,0
a_4_positive_03,4*x_0 + 4*x_1 + 3*x_2 + 4*x_3 <= 7,positive,4,complete,ftqc,gadget,feasibility,2.0,0.3950525533266871,4,0,4,"{'Hadamard': 4, 'CNOT': 8, 'T': 704}",716,4,0,0,4,708,8,704
a_4_positive_03,4*x_0 + 4*x_1 + 3*x_2 + 4*x_3 <= 7,positive,4,complete,nisq,gadget,fidelity,2.0,0.9999999982785149,4,0,4,"{'Hadamard': 4, 'CNOT': 8, 'RZ': 8, 'RX': 8}",28,4,0,0,4,20,8,0
a_4_positive_03,4*x_0 + 4*x_1 + 3*x_2 + 4*x_3 <= 7,positive,4,complete,ftqc,gadget,fidelity,2.0,0.9999999982785149,4,0,4,"{'Hadamard': 4, 'CNOT': 8, 'T': 704}",716,4,0,0,4,708,8,704
