method,constraint_type,n_x,est_shots_mean,est_shots_std,est_shots_median,est_shots_q25,est_shots_q75,optimize_time_mean,optimize_time_std,optimize_time_median,optimize_time_q25,optimize_time_q75,num_gamma_mean,num_gamma_std,num_gamma_median,num_gamma_q25,num_gamma_q75,num_beta_mean,num_beta_std,num_beta_median,num_beta_q25,num_beta_q75
PC-QAOA,quadratic_knapsack+knapsack,6,236197916.66666666,107351505.63105167,206640625.0,126562500.0,375390625.0,11.792140611012776,6.681083432877503,9.848390817642212,7.130108594894409,15.81964385509491,19.333333333333332,1.759328876372493,20.0,17.0,21.0,2.0,0.0,2.0,2.0,2.0
PC-QAOA,quadratic_knapsack+knapsack,7,464680990.3333333,123893563.94854423,549316407.0,295410157.0,549316407.0,26.78345448176066,19.577449386575474,21.13971734046936,12.425328969955444,41.381977677345276,24.333333333333332,0.48795003647426727,24.0,24.0,25.0,2.0,0.0,2.0,2.0,2.0
PC-QAOA,quadratic_knapsack+knapsack,8,957074653.1111112,240667343.73485345,918847657.0,739160157.0,1181640625.0,38.94744278060065,28.701207858295394,29.690527200698853,18.63993191719055,52.123581647872925,34.111111111111114,0.8847758376155401,34.0,34.0,34.0,2.0,0.0,2.0,2.0,2.0
PC-QAOA,quadratic_knapsack+quadratic_knapsack,6,477285156.4,204280360.7339776,564062500.0,375390625.0,656640625.0,15.633859167098999,9.123333565166078,13.553162097930908,8.328332662582397,20.024866819381714,19.8,0.7637626158259716,20.0,19.0,20.0,2.0,0.0,2.0,2.0,2.0
PC-QAOA,quadratic_knapsack+quadratic_knapsack,7,336694336.5,131320098.76694494,295410157.0,273217774.0,358886719.5,31.461399912834167,22.799051388086447,24.942673921585083,15.202159225940704,38.042049050331116,24.5,0.5129891760425763,24.5,24.0,25.0,2.0,0.0,2.0,2.0,2.0
PC-QAOA,quadratic_knapsack+quadratic_knapsack,8,1172597656.4,227296954.76198417,1314062500.0,1181640625.0,1314062500.0,41.853414583206174,41.35397572369157,31.16045069694519,21.246453046798706,43.43024659156799,33.4,0.5000000000000003,33.0,33.0,34.0,2.0,0.0,2.0,2.0,2.0
PenaltyQAOA,assignment+cardinality,4,276610253907.0,0.0,276610253907.0,276610253907.0,276610253907.0,6.327388954162598,2.986864258707194,5.8500847816467285,4.213558912277222,8.32427716255188,31.0,0.0,31.0,31.0,31.0,5.0,0.0,5.0,5.0,5.0
PenaltyQAOA,assignment+cardinality,5,2027954003907.0,0.0,2027954003907.0,2027954003907.0,2027954003907.0,16.923456525802614,9.601027683394475,15.890377044677734,10.522498607635498,20.80933403968811,58.0,0.0,58.0,58.0,58.0,7.0,0.0,7.0,7.0,7.0
PenaltyQAOA,assignment+cardinality,6,567197265625.0,0.0,567197265625.0,567197265625.0,567197265625.0,14.867622327804565,8.500451230093455,13.260569095611572,9.110925674438477,19.742844820022583,47.0,0.0,47.0,47.0,47.0,6.0,0.0,6.0,6.0,6.0
PenaltyQAOA,assignment+cardinality,7,3855272851563.0,2952014052022.4897,1973146972657.0,1707105566407.0,7885566015625.0,43.873125823338825,50.805981622601294,23.78946805000305,14.51210641860962,44.520859718322754,71.33333333333333,2.1269248984883165,71.0,69.0,74.0,7.0,0.0,7.0,7.0,7.0
PenaltyQAOA,assignment+cardinality,8,32184347265625.0,0.0,32184347265625.0,32184347265625.0,32184347265625.0,44.96727709770202,28.752627520785804,38.43497633934021,23.804508209228516,62.43712258338928,90.0,0.0,90.0,90.0,90.0,8.0,0.0,8.0,8.0,8.0
PenaltyQAOA,assignment+flow,7,2990737890625.0,0.0,2990737890625.0,2990737890625.0,2990737890625.0,25.197522974014284,13.331746470938715,24.24221897125244,17.140037775039673,33.31343412399292,63.0,0.0,63.0,63.0,63.0,7.0,0.0,7.0,7.0,7.0
PenaltyQAOA,assignment+knapsack,6,84755039062500.0,0.0,84755039062500.0,84755039062500.0,84755039062500.0,48.478807067871095,33.31110070827828,39.558531761169434,26.602962255477905,59.09036564826965,88.0,0.0,88.0,88.0,88.0,9.0,0.0,9.0,9.0,9.0
PenaltyQAOA,cardinality+assignment,4,6601562500.0,0.0,6601562500.0,6601562500.0,6601562500.0,4.497889804840088,1.9169017158754684,4.306593418121338,3.454219102859497,5.799012184143066,22.0,0.0,22.0,22.0,22.0,4.0,0.0,4.0,4.0,4.0
PenaltyQAOA,cardinality+assignment,6,20907756250000.0,0.0,20907756250000.0,20907756250000.0,20907756250000.0,34.10812163352966,19.07763070195782,31.275113582611084,22.041728496551514,41.97666668891907,75.0,0.0,75.0,75.0,75.0,8.0,0.0,8.0,8.0,8.0
PenaltyQAOA,cardinality+assignment+cardinality,8,8756050878907.0,0.0,8756050878907.0,8756050878907.0,8756050878907.0,50.059648752212524,30.947258102239747,42.38484454154968,30.098336696624756,65.99849677085876,89.0,0.0,89.0,89.0,89.0,10.0,0.0,10.0,10.0,10.0
PenaltyQAOA,cardinality+cardinality,5,4744218994141.0,3575029313642.8433,4218805908203.5,2253301196289.25,6709723706055.25,19.935042548179627,11.819615522660754,16.81178915500641,10.911202609539032,26.77346920967102,55.5,9.19095665371817,58.0,52.25,61.25,7.0,0.7254762501100116,7.0,6.75,7.25
