condition,mean,std,count,sem,ci95_half_width,ci95_lower,ci95_upper
range,0.123775,0.23416795563733397,20,0.052361546695723384,0.10959397676017055,0.014181023239829449,0.23336897676017054
maximum,0.11283999999999998,0.19798542051586043,20,0.04427088588273454,0.09266002906252659,0.020179970937473396,0.20550002906252657
verma_lewis,0.10919999999999999,0.18951447660299,20,0.04237672524045791,0.08869550527532818,0.020504494724671807,0.19789550527532818
local,0.107355,0.20234627036735559,20,0.04524600155349584,0.09470096961726043,0.012654030382739573,0.20205596961726044
feasible,0.098785,0.1993242301139686,20,0.04457025280976444,0.09328661124189444,0.005498388758105557,0.19207161124189442
