identity,instance_id,condition,rule,delta,selectable,n_x,regime,n_slack,n_total,depth,p_optimal,p_feasible,exact_p_optimal,exact_p_feasible,compile_seconds,optimize_seconds,process_peak_rss_mb
0b0807291efcf43fb5abdb942e685e70ab12b9f3d52d7a0f12b8c142dc659850,b_5_disjoint_01,feasible,feasible,22.0,True,5,disjoint,5,10,5,0.0451,0.5057,0.044130354695947484,0.5038453830682802,0.03369863657280803,12.630406822543591,1780.5625
d3c78d4237ae0eb14e7e8291fee0e43d8c2bbfe0bd28518ed9ce5a3cfc2bf08a,b_5_disjoint_01,local,local,16.0,True,5,disjoint,5,10,5,0.0385,0.5357999999999999,0.03874193390458566,0.5283742418582968,0.03422770882025361,12.802987490780652,1780.5625
15f8cae4c5819c09ee4337c76c94b4d65061879416f772d347bf0002b92fb748,b_5_disjoint_01,maximum,maximum,5.0,True,5,disjoint,5,10,5,0.0382,0.5687,0.03468073777342763,0.5652052194115155,0.03363105282187462,12.793600074015558,1780.5625
310b10ceaf23281f43e8d9b1923d1afd412d070c34c59075e1780cbc3e6d965e,b_5_disjoint_01,range,range,38.0,True,5,disjoint,5,10,5,0.0291,0.5453999999999999,0.02775540252832318,0.5318918966700548,45.00796838384122,12.400464507285506,1780.5625
7ef1a2e24803c494f00db35f198f6225134681770ae1709616988cfb40adfebf,b_5_disjoint_01,verma_lewis,verma_lewis,11.0,True,5,disjoint,5,10,5,0.0506,0.49710000000000004,0.05143196368619625,0.4992658060679507,0.03349158260971308,12.469734317157418,1780.5625
4084ac2b357a267195eae9a73712de5a9420e73b5feb425a13e11b1428433a39,b_5_disjoint_02,feasible,feasible,25.0,True,5,disjoint,0,5,5,0.0232,0.6263,0.021260612989802998,0.6247028690475566,0.0042620450258255005,1.079052482265979,828.69921875
6a4e06a9bf13c4d6e18dd6621b75b6a233fb5bba9e6074dc06a015548d9f3ec7,b_5_disjoint_02,local,local,16.0,True,5,disjoint,0,5,5,0.329,0.6963,0.33076950191942106,0.6953822861347541,0.004270780365914106,1.0925366641022265,828.69921875
1cf43acf9e6fedf518f6cc60bfca35241239adb9bbf5c45c9408975cc9e7a5f5,b_5_disjoint_02,maximum,maximum,6.0,True,5,disjoint,0,5,5,0.4342,0.7289,0.43563936181118007,0.729292869892271,0.004210330080240965,1.087020514998585,828.69921875
285b75fe4f2601242ac3e8e01a7b85f890c82a87f07fc706289e1c251f064770,b_5_disjoint_02,range,range,37.0,True,5,disjoint,0,5,5,0.347,0.9575,0.33865998833530314,0.9525114052156439,12.335180133581161,1.0821486818604171,828.69921875
e927ded751c08b899b9d7d24307dc2845f81c754fcfca32b75cfea18168f06e3,b_5_disjoint_02,verma_lewis,verma_lewis,16.0,True,5,disjoint,0,5,5,0.3398,0.6989000000000001,0.33076950191942106,0.6953822861347541,0.004500074777752161,1.0916792480275035,828.69921875
